District,Locality,PrecinctCode,PrecinctName,ACTIVE_VOTERS_1,INACTIVE_VOTERS_1,ALL_VOTERS,MILITARY_VOTERS,OVERSEAS_VOTERS,TEMP_VOTERS,Under18,TotalPrecinctsInLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,TotalUnder18VotersLocality,TotalPrecinctsInDistrict,TotalActiveVotersDistrict,TotalInActiveVotersDistrict,TotalAllVotersDistrict,TotalMilitaryVotersDistrict,TotalOverseasVotersDistrict,TotalFederalVotersDistrict,TotalUnder18VotersDistrict
CON 01,Locality: 033 CAROLINE COUNTY,0101,101 - BOWLING GREEN,"1,744",75,"1,819",10,,,,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0102,102 - SPARTA,"1,356",81,"1,437",11,2,,1,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0201,201 - NORTH MADISON,"1,537",82,"1,619",17,1,,,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0202,202 - SOUTH MADISON,"1,912",94,"2,006",11,4,,1,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0301,301 - PORT ROYAL,886,54,940,9,,2,,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0302,302 - WOODFORD,"2,145",118,"2,263",7,2,1,,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0401,401 - DAWN,"2,432",110,"2,542",8,2,,,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0402,402 - CARMEL CHURCH,802,35,837,6,,,2,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0501,501 - WEST MATTAPONI,"1,699",87,"1,786",12,6,1,1,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0502,502 - MILFORD,"1,416",55,"1,471",2,,,1,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0601,601 - CHILESBURG,"1,824",110,"1,934",15,5,,,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 033 CAROLINE COUNTY,0602,602 - LAKE,"1,300",70,"1,370",14,2,2,1,12,"19,053",971,"20,024",122,24,6,7,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 057 ESSEX COUNTY,0101,101 - GREATER TAPPAHANNOCK,"1,605",163,"1,768",7,2,,1,4,"6,935",596,"7,531",30,6,,2,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 057 ESSEX COUNTY,0201,201 - NORTH,"1,738",135,"1,873",9,,,,4,"6,935",596,"7,531",30,6,,2,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 057 ESSEX COUNTY,0301,301 - SOUTH,"1,882",132,"2,014",9,4,,,4,"6,935",596,"7,531",30,6,,2,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 057 ESSEX COUNTY,0401,401 - CENTRAL,"1,710",166,"1,876",5,,,1,4,"6,935",596,"7,531",30,6,,2,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 061 FAUQUIER COUNTY,0102,102 - CATLETT,"3,008",112,"3,120",13,3,,1,4,"9,924",483,"10,407",58,14,3,8,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 061 FAUQUIER COUNTY,0104,104 - LOIS,"1,250",48,"1,298",6,1,,,4,"9,924",483,"10,407",58,14,3,8,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 061 FAUQUIER COUNTY,0301,301 - MORRISVILLE,"1,985",89,"2,074",12,4,3,2,4,"9,924",483,"10,407",58,14,3,8,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 061 FAUQUIER COUNTY,0303,303 - BEALETON,"3,681",234,"3,915",27,6,,5,4,"9,924",483,"10,407",58,14,3,8,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0101,101 - HARCUM,"1,936",77,"2,013",17,2,1,1,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0102,102 - SALEM,"1,656",61,"1,717",16,,,1,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0103,103 - PEASLEY,"1,274",54,"1,328",9,,,1,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0201,201 - COURTHOUSE,"2,031",69,"2,100",13,10,1,,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0202,202 - BOTETOURT,"3,083",118,"3,201",36,7,,,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0301,301 - WHITE MARSH,"2,344",95,"2,439",27,,,1,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0302,302 - ROANES,"2,984",132,"3,116",37,4,,,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
CON 01,Locality: 073 GLOUCESTER COUNTY,0401,401 - HAYES,"2,831",96,"2,927",19,2,1,2,11,"26,077",998,"27,075",236,38,8,11,224,"508,001","26,035","534,036","5,028","1,438",265,699
